Method,Parameter,Normoxia (Air),Hyperoxia,Hypoxia,air vs hyper,air vs hypo,hyper vs hypo
DL-4p,SO₂ (%),66.40 ± 5.49,66.83 ± 8.10,61.68 ± 5.35,ns,ns,ns
DL-4p,CBV (%),3.92 ± 0.19,4.03 ± 0.29,3.86 ± 0.30,ns,ns,ns
DL-4p,R (um),18.41 ± 0.85,17.79 ± 0.85,18.64 ± 1.36,*,ns,*
DL-4p,T2 (ms),93.87 ± 7.19,95.56 ± 12.47,93.81 ± 9.69,ns,ns,*
Triple (A+B+C),SO₂ (%),61.03 ± 5.02,61.58 ± 7.25,56.26 ± 4.57,ns,*,ns
Triple (A+B+C),CBV (%),3.47 ± 0.22,3.59 ± 0.38,3.48 ± 0.32,ns,ns,ns
Triple (A+B+C),R (um),18.85 ± 1.12,18.30 ± 1.00,19.04 ± 1.50,*,ns,ns
Triple (A+B+C),T2 (ms),90.95 ± 7.37,92.73 ± 13.05,90.96 ± 9.94,ns,ns,ns
DM,SO₂ (%),56.68 ± 4.44,57.16 ± 6.21,52.44 ± 4.29,ns,*,ns
DM,CBV (%),4.31 ± 0.26,4.39 ± 0.30,4.21 ± 0.34,ns,ns,*
DM,R (um),18.09 ± 0.52,17.68 ± 0.63,18.11 ± 0.86,*,ns,*
DM,T2 (ms),89.35 ± 7.59,91.36 ± 13.36,89.49 ± 10.04,ns,ns,*
