method,parameter,condition,n_subjects,group_mean,group_sd,group_median
DL-4p,SO2,air,12,71.21890544891357,5.432120116944437,72.9990234375
DL-4p,SO2,hyper,11,70.58753308382902,5.406331519193807,70.86277770996094
DL-4p,SO2,hypo,12,67.67735767364502,4.166567317765245,68.67200088500977
DL-4p,CBV,air,12,4.0793894330660505,0.1090446160289389,4.043360471725464
DL-4p,CBV,hyper,11,4.230500849810514,0.2544040968094164,4.171197891235352
DL-4p,CBV,hypo,12,4.050780475139618,0.1847398132953895,3.9992594718933105
DL-4p,R,air,12,17.343389828999836,0.9001538296709828,17.673795700073242
DL-4p,R,hyper,11,17.002746061845258,0.6605636422537758,17.032241821289062
DL-4p,R,hypo,12,17.728853782018025,1.1011368120774796,18.171175956726074
DL-4p,T2,air,12,74.29676946004231,2.8464445875458404,74.29074096679688
DL-4p,T2,hyper,11,78.1111991188743,9.506998055124404,75.50289916992188
DL-4p,T2,hypo,12,75.6788501739502,5.926087964909605,74.23151397705078
Triple (A+B+C),SO2,air,12,64.63323593139648,4.70976198389049,65.06503295898438
Triple (A+B+C),SO2,hyper,11,64.57436509565873,4.149759147237311,65.0864486694336
Triple (A+B+C),SO2,hypo,12,60.79898484547933,3.022602547545255,61.47881507873535
Triple (A+B+C),CBV,air,12,3.5471623738606772,0.18376533009903648,3.4654383659362793
Triple (A+B+C),CBV,hyper,11,3.719948096708818,0.35127551863270223,3.645010709762573
Triple (A+B+C),CBV,hypo,12,3.5322540601094565,0.2810509637923987,3.413860559463501
Triple (A+B+C),R,air,12,18.194742282231648,1.348526877706653,18.80235481262207
Triple (A+B+C),R,hyper,11,17.778170585632324,1.0367212476355407,17.476564407348633
Triple (A+B+C),R,hypo,12,18.47786521911621,1.453264969979581,19.08108425140381
Triple (A+B+C),T2,air,12,71.80748240152995,2.849304584260011,71.82472610473633
Triple (A+B+C),T2,hyper,11,75.81564816561612,10.037267324348868,73.48310089111328
Triple (A+B+C),T2,hypo,12,73.05018552144368,6.002374195004372,71.41405868530273
DM,SO2,air,12,60.31525103251139,3.67147600541562,61.012338638305664
DM,SO2,hyper,11,60.30076841874556,3.5729031334828947,60.591217041015625
DM,SO2,hypo,12,56.940035820007324,2.746958894450947,57.49026679992676
DM,CBV,air,12,4.3443443775177,0.2539977223265959,4.236674547195435
DM,CBV,hyper,11,4.488246137445623,0.32472702890713256,4.342994213104248
DM,CBV,hypo,12,4.271278897921245,0.3003356893638316,4.162637710571289
DM,R,air,12,16.884841759999592,0.44967852192411756,16.959611892700195
DM,R,hyper,11,16.826022494922984,0.333999094371704,16.836332321166992
DM,R,hypo,12,17.06795072555542,0.5319860208542196,17.140908241271973
DM,T2,air,12,70.31989161173503,2.855186476275144,69.94853591918945
DM,T2,hyper,11,74.3624399358576,10.204129318322616,71.60857391357422
DM,T2,hypo,12,71.82337125142415,5.917459584466477,70.22249221801758
