method,parameter,cond_a,cond_b,n,statistic,p_raw,p_adj,stars,test,fdr
DL-4p,SO2,air,hyper,11,29.0,0.7646484375,0.8341619318181818,ns,wilcoxon,True
DL-4p,SO2,air,hypo,11,0.0,0.0009765625,0.01171875,*,wilcoxon,True
DL-4p,SO2,hyper,hypo,11,7.0,0.0185546875,0.041748046875,*,wilcoxon,True
DL-4p,CBV,air,hyper,11,7.0,0.0185546875,0.041748046875,*,wilcoxon,True
DL-4p,CBV,air,hypo,11,26.0,0.5771484375,0.6702368951612904,ns,wilcoxon,True
DL-4p,CBV,hyper,hypo,11,9.0,0.0322265625,0.06824448529411764,ns,wilcoxon,True
DL-4p,R,air,hyper,11,13.0,0.0830078125,0.14229910714285715,ns,wilcoxon,True
DL-4p,R,air,hypo,11,11.0,0.0537109375,0.107421875,ns,wilcoxon,True
DL-4p,R,hyper,hypo,11,7.0,0.0185546875,0.041748046875,*,wilcoxon,True
DL-4p,T2,air,hyper,11,23.0,0.4130859375,0.5127963362068966,ns,wilcoxon,True
DL-4p,T2,air,hypo,11,30.0,0.8310546875,0.8799402573529411,ns,wilcoxon,True
DL-4p,T2,hyper,hypo,11,1.0,0.001953125,0.01171875,*,wilcoxon,True
Triple (A+B+C),SO2,air,hyper,11,23.0,0.4130859375,0.5127963362068966,ns,wilcoxon,True
Triple (A+B+C),SO2,air,hypo,11,0.0,0.0009765625,0.01171875,*,wilcoxon,True
Triple (A+B+C),SO2,hyper,hypo,11,6.0,0.013671875,0.041748046875,*,wilcoxon,True
Triple (A+B+C),CBV,air,hyper,11,7.0,0.0185546875,0.041748046875,*,wilcoxon,True
Triple (A+B+C),CBV,air,hypo,11,25.0,0.51953125,0.6234375,ns,wilcoxon,True
Triple (A+B+C),CBV,hyper,hypo,11,4.0,0.0068359375,0.03076171875,*,wilcoxon,True
Triple (A+B+C),R,air,hyper,11,13.0,0.0830078125,0.14229910714285715,ns,wilcoxon,True
Triple (A+B+C),R,air,hypo,11,13.0,0.0830078125,0.14229910714285715,ns,wilcoxon,True
Triple (A+B+C),R,hyper,hypo,11,14.0,0.1015625,0.15896739130434784,ns,wilcoxon,True
Triple (A+B+C),T2,air,hyper,11,19.0,0.240234375,0.3603515625,ns,wilcoxon,True
Triple (A+B+C),T2,air,hypo,11,31.0,0.8984375,0.8984375,ns,wilcoxon,True
Triple (A+B+C),T2,hyper,hypo,11,1.0,0.001953125,0.01171875,*,wilcoxon,True
DM,SO2,air,hyper,11,21.0,0.3203125,0.4270833333333333,ns,wilcoxon,True
DM,SO2,air,hypo,11,0.0,0.0009765625,0.01171875,*,wilcoxon,True
DM,SO2,hyper,hypo,11,7.0,0.0185546875,0.041748046875,*,wilcoxon,True
DM,CBV,air,hyper,11,4.0,0.0068359375,0.03076171875,*,wilcoxon,True
DM,CBV,air,hypo,11,20.0,0.2783203125,0.38536658653846156,ns,wilcoxon,True
DM,CBV,hyper,hypo,11,7.0,0.0185546875,0.041748046875,*,wilcoxon,True
DM,R,air,hyper,11,29.0,0.7646484375,0.8341619318181818,ns,wilcoxon,True
DM,R,air,hypo,11,5.0,0.009765625,0.0390625,*,wilcoxon,True
DM,R,hyper,hypo,11,14.0,0.1015625,0.15896739130434784,ns,wilcoxon,True
DM,T2,air,hyper,11,20.0,0.2783203125,0.38536658653846156,ns,wilcoxon,True
DM,T2,air,hypo,11,31.0,0.8984375,0.8984375,ns,wilcoxon,True
DM,T2,hyper,hypo,11,1.0,0.001953125,0.01171875,*,wilcoxon,True
