Comparison,SNR,Parameter,RMSE_A,RMSE_B,p_raw,p_Bonferroni,Significance
DL_noisy vs DM,20,SO2,38.195,45.115,0.00e+00,0.00e+00,***
DL_noisy vs DM,20,CBV,6.078,6.355,2.14e-86,3.43e-85,***
DL_noisy vs DM,20,R,12.075,9.838,0.00e+00,0.00e+00,***
DL_noisy vs DM,20,T2,69.68,62.426,0.00e+00,0.00e+00,***
DL_noisy vs DM,50,SO2,42.705,42.241,6.16e-88,9.86e-87,***
DL_noisy vs DM,50,CBV,5.958,6.273,3.62e-93,5.79e-92,***
DL_noisy vs DM,50,R,12.792,9.797,0.00e+00,0.00e+00,***
DL_noisy vs DM,50,T2,70.181,61.818,0.00e+00,0.00e+00,***
DL_noisy vs DM,100,SO2,44.255,41.145,0.00e+00,0.00e+00,***
DL_noisy vs DM,100,CBV,5.888,6.179,1.56e-62,2.49e-61,***
DL_noisy vs DM,100,R,12.944,9.682,0.00e+00,0.00e+00,***
DL_noisy vs DM,100,T2,70.726,61.47,0.00e+00,0.00e+00,***
DL_noisy vs DM,150,SO2,44.602,40.916,0.00e+00,0.00e+00,***
DL_noisy vs DM,150,CBV,5.873,6.135,1.72e-41,2.75e-40,***
DL_noisy vs DM,150,R,12.971,9.589,0.00e+00,0.00e+00,***
DL_noisy vs DM,150,T2,70.915,61.345,0.00e+00,0.00e+00,***
DL_noisy vs DL_NF,20,SO2,38.195,55.787,0.00e+00,0.00e+00,***
DL_noisy vs DL_NF,20,CBV,6.078,8.288,0.00e+00,0.00e+00,***
DL_noisy vs DL_NF,20,R,12.075,10.805,0.00e+00,0.00e+00,***
DL_noisy vs DL_NF,20,T2,69.68,59.672,0.00e+00,0.00e+00,***
DL_noisy vs DL_NF,50,SO2,42.705,55.856,0.00e+00,0.00e+00,***
DL_noisy vs DL_NF,50,CBV,5.958,8.422,0.00e+00,0.00e+00,***
DL_noisy vs DL_NF,50,R,12.792,9.085,0.00e+00,0.00e+00,***
DL_noisy vs DL_NF,50,T2,70.181,59.789,0.00e+00,0.00e+00,***
DL_noisy vs DL_NF,100,SO2,44.255,55.785,0.00e+00,0.00e+00,***
DL_noisy vs DL_NF,100,CBV,5.888,8.445,0.00e+00,0.00e+00,***
DL_noisy vs DL_NF,100,R,12.944,8.494,0.00e+00,0.00e+00,***
DL_noisy vs DL_NF,100,T2,70.726,61.501,0.00e+00,0.00e+00,***
DL_noisy vs DL_NF,150,SO2,44.602,55.77,0.00e+00,0.00e+00,***
DL_noisy vs DL_NF,150,CBV,5.873,8.45,0.00e+00,0.00e+00,***
DL_noisy vs DL_NF,150,R,12.971,8.342,0.00e+00,0.00e+00,***
DL_noisy vs DL_NF,150,T2,70.915,62.048,0.00e+00,0.00e+00,***
